numTokens,NVnum,NVscore,PVnum,PVscore,NAnum,NAscore,PAnum,PAscore
273,12,-4.946899999999999,107,48.390999999999984,12,-4.878080000000001,107,50.100999999999985
124,0,0.0,42,24.323000000000004,0,0.0,42,23.806
124,0,0.0,42,24.323000000000004,0,0.0,42,23.806
119,2,-0.57794,46,22.511,2,-0.60606,46,23.066000000000003
128,3,-0.6830200000000001,36,15.266000000000002,3,-0.7962400000000001,36,15.996999999999996
223,3,-1.4030399999999998,76,40.02600000000001,3,-1.3135000000000001,76,40.193
388,2,-0.6393599999999999,143,83.20900000000002,2,-0.6326999999999999,143,82.61199999999998
178,6,-2.55758,64,32.25900000000001,6,-2.39268,64,33.063
212,3,-0.60532,79,36.27400000000001,3,-0.7540600000000001,79,38.06300000000001
189,2,-1.0870600000000001,64,33.47200000000001,2,-1.03378,64,33.589
51,0,0.0,12,4.982,0,0.0,12,5.58
290,6,-2.6936,96,56.391999999999996,6,-2.6551199999999997,96,56.010000000000026
67,1,-0.47582,22,11.188,1,-0.44548,22,11.376
93,2,-1.0804,27,12.393,2,-1.0226799999999998,27,12.915000000000001
90,1,-0.021999999999999964,35,14.692000000000002,0,0.0,35,15.303000000000003
140,3,-1.12242,49,24.487,2,-0.9649599999999999,49,24.292000000000005
124,1,-0.1887,36,18.242,1,-0.2442,36,18.371
191,4,-2.11418,61,30.61800000000001,4,-2.03796,61,31.379000000000005
140,1,-0.04588,43,21.58,1,-0.13541999999999998,43,22.339000000000002
222,3,-1.2802,73,36.38700000000001,3,-1.2550399999999997,73,36.732000000000006
123,2,-0.9871599999999999,41,19.139,2,-0.9235199999999999,41,19.842999999999996
157,2,-0.7326,58,29.906000000000013,2,-0.7518400000000001,58,30.437
151,5,-2.25774,49,23.556000000000004,5,-2.15636,49,24.076
46,0,0.0,18,7.1739999999999995,0,0.0,18,7.911
416,13,-5.587,121,66.903,13,-5.698,121,66.83099999999999
276,9,-3.24786,80,37.77200000000001,9,-3.23972,80,39.04
456,10,-5.1282000000000005,123,59.33399999999997,10,-4.886959999999999,123,60.639999999999986
74,3,-1.09964,25,8.657000000000002,3,-1.13516,25,9.741000000000001
125,3,-0.99752,51,26.444000000000003,3,-1.0167599999999999,51,26.291999999999998
74,0,0.0,25,12.058,0,0.0,25,12.078
769,24,-9.48976,223,117.237,24,-9.711019999999998,223,117.63699999999996
186,8,-4.1025599999999995,53,29.910999999999994,8,-3.90646,53,29.64
42,2,-0.70152,17,7.162,2,-0.7659,17,7.740000000000001
319,5,-1.7833999999999999,98,52.61500000000001,5,-1.80116,98,53.130999999999986
193,4,-1.4801199999999999,61,31.342000000000006,4,-1.3909399999999996,61,31.614999999999995
104,1,-0.21163999999999997,35,18.555999999999997,1,-0.25677999999999995,35,18.491
198,3,-1.6265200000000002,67,33.54599999999999,3,-1.5392000000000001,67,34.617
299,1,-0.4662,96,46.65800000000001,1,-0.43585999999999997,96,47.331
151,3,-1.23062,53,25.704,3,-1.16624,53,26.191999999999997
207,3,-1.4644599999999999,72,38.905,3,-1.3941599999999998,72,39.18999999999999
101,1,-0.57054,37,19.189,1,-0.5476,37,19.389
123,6,-3.1235399999999998,36,15.099000000000004,6,-2.98516,36,16.021
549,12,-5.60328,192,90.12199999999997,12,-5.52928,192,92.72900000000007
170,4,-1.89588,64,28.552000000000014,4,-1.7833999999999999,64,29.55599999999999
207,2,-0.6186400000000001,75,36.55900000000001,2,-0.68524,75,37.56
454,3,-1.5110800000000002,139,67.33300000000003,3,-1.443,139,70.14299999999999
206,3,-0.13763999999999998,66,29.172,3,-0.40625999999999995,66,30.515000000000008
428,13,-6.52828,129,74.055,13,-6.287040000000001,129,73.06899999999999
127,3,-1.32016,39,20.087,3,-1.24542,39,20.075999999999997
290,7,-3.32186,89,49.53799999999999,7,-3.28634,89,49.91100000000001
135,4,-1.6465,37,18.933000000000003,4,-1.6080199999999998,37,19.157000000000004
299,5,-1.78562,106,52.794,5,-1.7545400000000002,106,54.256000000000014
252,1,-0.23099999999999998,76,45.566,1,-0.10999999999999999,76,45.124999999999986
167,0,0.0,61,28.59000000000001,0,0.0,61,30.32100000000001
780,14,-6.19554,201,123.61800000000007,13,-6.0384,201,121.08500000000005
55,1,-0.4625,17,9.809,1,-0.43141999999999997,17,9.67
331,6,-1.6302200000000002,98,52.11399999999998,6,-1.7345599999999999,98,52.791
156,1,-0.49802,48,25.199999999999996,1,-0.4662,48,25.725999999999992
285,8,-3.42176,79,39.026999999999994,8,-3.3418400000000004,79,39.701999999999984
251,4,-1.9454600000000002,93,45.09300000000001,4,-1.8640600000000003,93,46.766999999999996
122,3,-0.54686,29,14.414,3,-0.69856,29,14.406000000000002
341,5,-1.75602,109,52.542000000000016,5,-1.86924,109,53.86300000000001
52,1,-0.35519999999999996,17,5.587000000000001,1,-0.33744,17,6.338
21,0,0.0,8,1.927,0,0.0,8,2.603
224,3,-1.40654,81,39.024,3,-1.27752,81,40.042
262,5,-1.22512,87,40.78699999999999,5,-1.3344399999999998,87,42.46399999999999
191,2,-1.18992,58,31.937999999999995,2,-1.1403400000000001,58,32.397
3094,51,-19.94124,1093,575.1430000000003,50,-19.88010000000001,1093,575.6229999999999
166,0,0.0,58,25.513999999999996,0,0.0,58,26.726000000000003
75,1,-0.54094,21,10.795,1,-0.51208,21,10.789
697,11,-4.14412,200,108.888,11,-3.88326,200,109.01700000000004
143,5,-2.59444,55,27.763999999999996,5,-2.4664200000000003,55,28.147
106,0,0.0,35,17.843999999999998,0,0.0,35,18.473
330,8,-3.66892,98,52.22900000000002,8,-3.7007399999999997,98,52.51600000000003
65,1,-0.40034000000000003,26,11.71,1,-0.37,26,12.186000000000005
209,6,-2.1940999999999997,57,33.333000000000006,6,-2.19558,57,33.028999999999996
349,7,-2.38502,112,65.54700000000003,7,-2.4782599999999997,112,64.54400000000001
99,4,-1.81152,30,14.314999999999998,4,-1.8100399999999999,30,14.419
188,5,-1.7604600000000001,66,30.784000000000013,5,-1.81374,66,31.815999999999992
201,4,-2.1127000000000002,71,35.55599999999999,4,-2.00096,71,36.005
395,4,-2.3228600000000004,124,73.70300000000002,4,-2.22,124,72.199
145,0,0.0,44,25.759999999999998,0,0.0,44,25.679000000000002
166,5,-1.8426,55,30.174000000000003,5,-1.82114,55,29.877000000000006
103,0,0.0,38,17.832,0,0.0,38,18.540000000000003
312,9,-3.66152,87,45.897,9,-3.7347799999999998,87,45.85900000000002
296,2,-0.62504,79,38.542999999999985,2,-0.47644,79,39.07800000000001
274,3,-1.04784,97,59.12500000000001,3,-1.0833599999999999,97,58.317000000000014
1097,19,-8.076740000000001,350,198.87399999999985,19,-7.876519999999998,350,198.9069999999999
99,0,0.0,38,15.625999999999998,0,0.0,38,16.863999999999997
97,4,-1.92252,40,22.656,4,-1.80708,40,22.155
190,2,-0.09176,69,34.93400000000002,2,-0.27083999999999997,69,35.93300000000001
209,4,-1.8085600000000002,64,34.027,4,-1.82706,64,34.17700000000001
515,6,-2.5293200000000002,163,99.16700000000002,6,-2.53006,163,97.65399999999998
399,15,-7.217219999999999,129,68.85900000000002,15,-6.99596,129,68.65000000000003
327,11,-5.1171,112,60.565,11,-4.97872,112,60.461000000000006
600,10,-3.10172,186,94.89100000000006,10,-3.0934600000000003,186,97.05499999999998
61,1,-0.12136000000000001,22,9.813000000000002,1,-0.20646,22,10.449
205,4,-2.0675600000000003,57,29.967999999999996,4,-1.9565599999999996,57,30.066000000000003
458,15,-7.294180000000001,133,72.71499999999997,15,-7.08032,133,73.02999999999994
143,3,-1.0952,44,29.303000000000004,3,-1.147,44,28.554
169,1,-0.10804,52,26.399,1,-0.1961,52,26.703999999999997
205,1,-0.6512,73,41.084999999999994,1,-0.62752,73,40.30200000000001
167,1,-0.10804,60,33.63499999999999,1,-0.1961,60,33.48700000000001
283,3,-1.1114799999999998,91,38.49899999999999,3,-1.14182,91,41.49199999999999
1159,23,-8.64798,401,207.41599999999997,21,-8.579559999999999,401,208.42100000000008
48,1,-0.6512,21,11.973,1,-0.62752,21,12.055
63,0,0.0,17,9.546999999999999,0,0.0,17,9.561000000000002
283,7,-3.6319199999999996,76,41.21400000000001,7,-3.4557999999999995,76,41.798
83,0,0.0,33,15.156999999999998,0,0.0,33,15.902000000000003
167,2,-1.1618,49,27.064999999999998,2,-1.11444,49,26.968000000000004
372,3,-1.4940600000000002,130,66.0132,3,-1.49184,130,67.14840000000005
272,2,-0.69486,95,47.983999999999995,2,-0.66082,95,47.99999999999999
62,1,-0.59348,22,9.99,1,-0.5698,22,10.501
137,0,0.0,54,22.090999999999987,0,0.0,54,23.82800000000001
200,8,-1.64058,58,31.508000000000003,8,-2.00392,58,31.20999999999999
115,1,-0.59348,32,15.943,1,-0.5698,32,16.005
185,7,-4.11958,55,26.366000000000007,7,-3.9197800000000003,55,26.810999999999996
330,6,-2.05424,109,57.97999999999999,6,-2.04314,109,58.18999999999998
279,3,-1.9203000000000001,101,47.86900000000002,3,-1.8388999999999998,101,48.973
278,5,-2.2296199999999997,95,46.774999999999984,5,-2.2015,95,46.707
188,7,-2.9348399999999994,59,33.278,7,-3.0465799999999996,59,32.547000000000004
741,18,-7.428739999999999,241,135.28799999999995,18,-7.57488,240,133.3160000000001
202,5,-2.32804,67,33.463,5,-2.2969600000000003,67,33.968
198,6,-1.1396,68,29.881000000000004,6,-1.4318999999999997,68,31.171000000000003
125,1,-0.57276,42,24.565999999999992,1,-0.5476,42,24.146
173,2,-0.75554,48,24.761999999999993,2,-0.8317599999999999,48,24.709999999999997
132,5,-2.27254,40,18.079,5,-2.2459000000000002,40,19.142
1024,21,-8.6654,278,145.31100000000004,21,-8.596580000000001,278,145.74299999999997
155,2,-0.99308,53,24.829,2,-0.9324,53,26.099999999999994
765,6,-2.50342,263,138.08000000000004,6,-2.4679,263,138.4230000000001
207,3,-1.17158,52,28.248000000000005,2,-1.10926,52,28.539000000000005
124,0,0.0,50,24.472,0,0.0,50,24.757
54,1,-0.43807999999999997,18,10.256000000000002,1,-0.40700000000000003,18,10.171999999999999
82,1,-0.04588,25,13.419999999999998,1,-0.13541999999999998,25,13.863
297,1,-0.0925,91,52.43599999999999,1,-0.185,91,51.82500000000002
182,3,-1.7678599999999998,53,27.57499999999999,3,-1.6835,53,28.602
44,1,-0.12899999999999998,12,4.606999999999999,1,-0.013999999999999957,12,5.064
620,12,-4.940980000000001,208,115.35900000000002,12,-5.0431,208,114.23899999999998
297,4,-2.02834,96,47.28200000000002,4,-1.91808,96,47.79900000000001
108,1,-0.04588,44,17.173999999999996,1,-0.13541999999999998,44,18.785999999999994
180,0,0.0,74,33.65,0,0.0,74,34.504000000000005
704,7,-2.89044,217,114.5219999999999,7,-3.0317799999999995,217,115.6040000000001
337,6,-3.09024,110,62.653000000000006,6,-3.0628599999999997,110,61.32999999999999
142,3,-1.3875,47,25.355999999999995,3,-1.35494,47,25.383000000000003
340,5,-1.3356999999999999,100,50.003999999999984,5,-1.48,100,51.074999999999996
306,11,-5.07714,96,51.88599999999998,11,-4.96096,96,51.66
131,5,-1.67536,36,19.992999999999988,5,-1.76342,36,20.118999999999996
194,4,-1.7353,61,30.601000000000006,4,-1.6953399999999998,61,31.034999999999993
130,1,-0.33226,53,29.625,1,-0.32042,53,29.65799999999999
299,12,-4.636100000000001,72,38.787,12,-4.65608,72,38.856000000000016
310,1,-0.49802,105,51.600000000000016,1,-0.4662,105,52.238000000000014
314,3,-0.94028,118,62.79999999999999,3,-0.7709599999999999,118,63.372
302,7,-2.77352,90,44.40899999999999,7,-2.81866,90,45.709999999999994
166,6,-1.8959799999999998,59,29.70600000000001,6,-1.9713000000000003,59,30.016999999999996
732,16,-7.152100000000001,216,122.19999999999997,16,-7.049239999999999,216,119.976
335,4,-1.43634,108,47.352999999999994,4,-1.4910999999999999,108,48.80400000000004
417,8,-3.0747000000000004,136,72.35600000000001,8,-3.16498,136,72.86900000000004
159,2,-0.6215999999999999,46,22.001,2,-0.67932,46,22.506
2474,44,-19.62984,858,512.1790000000002,44,-18.976480000000002,858,499.73900000000026
122,4,-1.2099,42,17.127000000000002,4,-1.23802,42,17.978
575,11,-3.8036000000000008,175,96.32199999999999,11,-3.7540199999999992,175,94.664
475,15,-7.2372,126,79.07500000000002,15,-6.943419999999999,126,77.835
334,2,-0.77108,116,56.657,2,-0.7370399999999999,116,57.981000000000016
275,4,-1.82706,88,40.84299999999998,4,-1.75084,88,42.74500000000002
216,2,-1.0485799999999998,59,31.739999999999988,2,-0.9864200000000001,59,31.922999999999995
264,8,-3.64746,80,37.452,8,-3.5009400000000004,80,38.67499999999999
79,0,0.0,23,10.222999999999999,0,0.0,23,10.711000000000002
262,3,-1.5503,97,55.607000000000006,3,-1.5184799999999998,97,55.571000000000005
58,0,0.0,18,8.741,0,0.0,18,8.834
283,7,-2.8356799999999995,80,39.107000000000006,7,-2.8652799999999994,80,40.455
682,14,-5.40422,215,111.15700000000008,14,-5.38572,215,112.48700000000002
275,12,-4.946899999999999,107,48.390999999999984,12,-4.878080000000001,107,50.100999999999985
239,3,-1.53698,74,35.518,3,-1.46224,74,36.077999999999996
254,4,-1.17204,99,51.24700000000001,3,-1.17956,99,51.79699999999998
122,3,-1.3889799999999999,38,19.977999999999998,3,-1.3172,38,19.768999999999995
386,7,-3.26044,114,66.1,7,-3.2041999999999997,114,66.64500000000001
318,7,-2.8638000000000003,92,48.812,7,-2.8726799999999995,92,49.190999999999995
759,13,-4.644839999999999,249,139.556,13,-4.54922,249,137.75999999999996
92,2,-0.69412,34,15.591999999999997,2,-0.7437,34,16.084
137,0,0.0,43,26.714000000000006,0,0.0,43,26.328999999999994
96,2,-0.14208,33,17.917,2,-0.32042,33,18.273999999999997
93,2,-0.57794,31,16.544,2,-0.60606,31,17.254999999999995
74,1,-0.40848,21,10.619,1,-0.3774,21,10.74
196,6,-2.60332,55,27.485999999999994,6,-2.45606,55,27.634
107,1,-0.04588,41,21.145999999999997,1,-0.13541999999999998,41,21.270000000000003
326,3,-1.7500999999999998,97,50.202000000000005,3,-1.6686999999999999,97,51.475000000000016
195,5,-1.9177600000000001,80,44.95399999999999,4,-1.89366,80,44.932999999999986
127,2,-0.76306,45,24.5,2,-0.61098,45,24.286999999999992
280,3,-1.2506,99,51.28,3,-1.19362,99,51.97599999999999
127,3,-1.33348,48,24.387000000000008,3,-1.3630799999999998,48,24.938
234,3,-0.21534,70,35.054,3,-0.47878,70,35.56700000000001
308,6,-1.2794599999999998,105,44.71499999999999,6,-1.4748199999999998,105,47.06099999999999
109,3,-0.9360999999999999,38,19.955999999999992,3,-0.9716199999999999,38,19.742
51,1,-0.49802,20,9.467,1,-0.4662,20,9.741999999999999
162,2,-1.34236,54,30.391999999999992,2,-1.28612,54,30.105
102,2,-0.57424,43,19.894000000000002,2,-0.61198,43,20.617000000000004
56,1,-0.04588,17,9.501999999999999,1,-0.13541999999999998,17,9.655999999999999
210,1,-0.0074,69,37.333,1,-0.060680000000000005,69,37.891000000000005
159,1,-0.61642,71,35.746,1,-0.592,71,36.344
1439,27,-11.094120000000002,468,253.58800000000028,26,-10.80574,468,253.82699999999988
175,0,0.0,58,31.380000000000003,0,0.0,58,31.744000000000003
271,4,-0.90798,91,47.48600000000001,4,-1.0545,91,47.85900000000001
290,4,-1.04636,102,52.46499999999999,4,-1.1588399999999999,102,52.894
1034,16,-7.826980000000001,320,171.70699999999985,16,-7.56354,320,173.13300000000007
840,15,-6.619299999999999,252,139.66600000000003,15,-6.574159999999999,252,138.294
336,10,-4.166939999999999,115,57.164,10,-4.10108,115,58.42600000000001
367,3,-2.0239,112,60.90799999999999,3,-1.95878,112,60.219
166,2,-0.66452,49,26.549000000000003,2,-0.6482399999999999,49,26.392999999999994
166,2,-0.66452,49,26.549000000000003,2,-0.6482399999999999,49,26.392999999999994
118,1,-0.57424,37,19.574,1,-0.5513,37,19.54
636,25,-6.005839999999999,191,91.178,25,-6.907159999999999,191,93.41400000000003
118,1,-0.54094,45,18.834000000000003,1,-0.51208,45,20.103
287,10,-3.83764,99,54.496,10,-3.8998,99,54.45500000000001
356,6,-2.74244,118,58.79799999999997,6,-2.69582,118,59.352000000000054
52,1,-0.04588,14,7.543,1,-0.13541999999999998,14,7.7459999999999996
276,4,-1.32164,98,52.41399999999999,4,-1.32756,98,52.90900000000002
140,3,-1.3912,47,24.000000000000007,3,-1.4074799999999998,47,24.195999999999998
558,16,-7.75298,153,90.61599999999999,16,-7.556139999999999,153,89.22899999999998
386,4,-1.8759,149,81.09200000000003,4,-1.79524,149,81.78599999999999
159,0,0.0,62,34.16799999999999,0,0.0,62,33.588
49,1,-0.12358000000000001,14,5.412,1,-0.20794,14,5.982
53,1,-0.02294,20,8.998999999999999,1,-0.08879999999999999,20,9.646999999999998
168,5,-2.1275,61,29.73100000000001,5,-2.10678,61,30.235999999999986
94,0,0.0,36,17.728999999999996,0,0.0,36,18.249000000000002
161,4,-1.75232,47,24.607,4,-1.67684,47,24.613999999999997
693,14,-6.79246,222,123.01299999999995,14,-6.59636,222,122.62900000000003
472,5,-1.6945999999999999,151,77.61299999999997,5,-1.79894,151,77.65299999999999
175,2,-0.6149399999999999,56,28.679000000000013,2,-0.67414,56,29.451000000000004
162,3,-1.1040800000000002,54,24.664,3,-1.1285,54,25.597999999999995
141,1,-0.04588,47,28.693,1,-0.13541999999999998,47,28.303000000000004
257,9,-3.7932400000000004,60,30.427999999999997,9,-3.7510600000000003,60,30.838
116,5,-2.2310999999999996,29,17.326999999999998,5,-2.1963199999999996,29,16.793
189,2,-0.9279599999999999,71,32.8,2,-0.8961399999999999,71,34.033
325,1,-0.41514,119,65.01100000000001,1,-0.38480000000000003,119,65.26600000000002
152,2,-0.9864200000000001,55,26.375000000000007,2,-0.92426,55,26.57600000000001
198,6,-2.75576,68,35.583,6,-2.71876,68,35.576999999999984
149,4,-1.38972,38,20.679000000000002,4,-1.47334,38,20.721999999999998
10,0,0.0,6,2.323,0,0.0,6,2.449
214,0,0.0,77,37.466000000000015,0,0.0,77,38.36700000000001
173,5,-2.23554,57,30.292000000000012,5,-2.1793,57,30.240999999999996
342,3,-1.74344,126,65.294,3,-1.66204,126,66.29700000000003
48,0,0.0,17,7.4110000000000005,0,0.0,17,7.751999999999999
118,0,0.0,59,36.711,0,0.0,59,35.60399999999999
37,1,-0.04299999999999998,13,7.364,0,0.0,13,7.394999999999999
87,1,-0.5394599999999999,29,13.318000000000001,1,-0.50986,29,13.958999999999998
363,4,-1.5554800000000002,135,74.62,4,-1.47778,135,73.51600000000003
363,4,-1.5554800000000002,135,74.62,4,-1.47778,135,73.51600000000003
121,2,-0.6808,42,23.313000000000002,2,-0.68302,42,23.093000000000004
893,10,-3.99008,282,154.00500000000008,10,-3.8990600000000004,282,152.211
404,10,-3.1606599999999996,159,83.69199999999995,10,-3.1921000000000004,159,84.602
1617,34,-16.31982,553,312.05600000000055,33,-15.67748,553,310.3110000000001
